PLAZA,CR TIENDA,DESC_TIENDA,MONTO SIN IMPUESTOS ,MONTO CON IMPUESTOS 
10CAN Campeche,509Y9,Cipres MID,100,118.5
10CAN Campeche,50ABB,San Vicente MID,50,59.25
10CAN Campeche,50AIV,Aviacion MID,50,59.25
10CAN Campeche,50AVJ,Aviacion II,100,118.5
10CAN Campeche,50AX0,Paseos de Opichen MID,100,118.5
10CAN Campeche,50BWV,Resurgimiento MID,50,59.25
10CAN Campeche,50CXH,Chembech MID,135,159.975
10CAN Campeche,50D8T,Hecelchakan MID,50,59.25
10CAN Campeche,50DSF,Paraiso Caucel MID,350,414.75
10CAN Campeche,50E5A,86 Sur CUN,200,237
10CAN Campeche,50E84,Justo Sierra Mid,100,118.5
10CAN Campeche,50EJ8,Vizcaya CUN,200,237
10CAN Campeche,50ET8,Cardenales MID,50,59.25
10CAN Campeche,50F1V,Ticuleno MID,50,59.25
10CAN Campeche,50FFX,Las Flores MID,50,59.25
10CAN Campeche,50FGR,Laureles MID,100,118.5
10CAN Campeche,50FHU,San Felipe MID,150,177.75
10CAN Campeche,50FIV,La Diana MID,100,118.5
10CAN Campeche,50FN5,Morelos MID,50,59.25
10CAN Campeche,50FS2,Baja Velocidad CUN,100,118.5
10CAN Campeche,50FYE,Fuerza Aerea MID,50,59.25
10CAN Campeche,50FZN,Madero MID,50,59.25
10CAN Campeche,50FZX,Lucas de Galvez MID,135,159.975
10CAN Campeche,50GH7,Zapata 86 MID,50,59.25
10CAN Campeche,50GJY,Neptuno MID,250,296.25
10CAN Campeche,50GKU,Anikabil MID,150,177.75
10CAN Campeche,50H8W,Los Olivos MID,50,59.25
10CAN Campeche,50I3K,IMSS Caucel CUN,200,237
10CAN Campeche,50I6R,Calkini MID,150,177.75
10CAN Campeche,50IAI,Tenabo MID,50,59.25
10CAN Campeche,50IHH,Conquistador MID,100,118.5
10CAN Campeche,50IK4,Narciso CUN,50,59.25
10CAN Campeche,50INW,Inst. Campechano MID,50,59.25
10CAN Campeche,50J7D,Piedra Norte CUN,50,59.25
10CAN Campeche,50JEQ,Calle 10 MID,50,59.25
10CAN Campeche,50JTJ,Limones MID,450,533.25
10CAN Campeche,50JYU,Casa de JusticiaMID,150,177.75
10CAN Campeche,50KP7,Cielo Alto MID,50,59.25
10CAN Campeche,50LCV,Solidaridad MID,100,118.5
10CAN Campeche,50LDE,Amalia Solorzano MID,100,118.5
10CAN Campeche,50LOQ,5 Colonias MID,50,59.25
10CAN Campeche,50M1H,Colosio MID,50,59.25
10CAN Campeche,50M60,Maestros Campechanos MID,50,59.25
10CAN Campeche,50MAW,San Carlos MID,50,59.25
10CAN Campeche,50MCS,50 Sur MID,50,59.25
10CAN Campeche,50MER,Piedra de Agua MID,100,118.5
10CAN Campeche,50MFM,Fuente Maya MID,50,59.25
10CAN Campeche,50MI3,Peregrino CUN,50,59.25
10CAN Campeche,50MJP,Juan Pablo V MID,50,59.25
10CAN Campeche,50MKB,Juan Pablo II MID,200,237
10CAN Campeche,50MLU,Maria Luisa MID,100,118.5
10CAN Campeche,50MSE,Servi Trailer MID,50,59.25
10CAN Campeche,50MT7,Villa Jard n MID,50,59.25
10CAN Campeche,50NJT,Pitahaya MID,50,59.25
10CAN Campeche,50O2D,El Ruedo CUN,50,59.25
10CAN Campeche,50O39,Andatti CUN,50,59.25
10CAN Campeche,50OKM,Plaza del Mar MID,150,177.75
10CAN Campeche,50P3J,Manglares MID,100,118.5
10CAN Campeche,50PCF,El Roble MID,100,118.5
10CAN Campeche,50PCG,Baluartes MID,150,177.75
10CAN Campeche,50QPY,San Rafael MID,350,414.75
10CAN Campeche,50R2H,Yaxnah MID,50,59.25
10CAN Campeche,50RHK,Gran Santa Fe MID,50,59.25
10CAN Campeche,50RPJ,Lerma MID,50,59.25
10CAN Campeche,50RSQ,Perisur MID,50,59.25
10CAN Campeche,50RT4,Gas Santa Fe MID,350,414.75
10CAN Campeche,50S7V,Villas Caucel MID,50,59.25
10CAN Campeche,50S8S,Paseos de Caucel MID,250,296.25
10CAN Campeche,50SB0,Cooperativa Kala MID,100,118.5
10CAN Campeche,50SN6,Lomas Caucel MID,100,118.5
10CAN Campeche,50T88,Paseos De Tixcacal MID,50,59.25
