EmpleadoID,CentroTrabajoID,ComponenteID,Fecha,Monto,Comentarios,Aprobado,FechaAprobacion,Aprobador,Insercion,Cancelado_Por,Fecha_Cancelacion,Autorizado
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,04/06/2025,551.03,PXP ZYN SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,06/06/2025,915.92,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,07/06/2025,87.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,10/06/2025,391.05,ZYN CatchUp Semana 2,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,11/06/2025,853.20,Concurso PMI Ola 2 Semana 3 - ZYN,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,12/06/2025,604.35,Concurso Cigarros PMI SEMANA 5,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,13/06/2025,88.88,Concurso PMI ZYN CatchUp SEMANA 1,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,16/06/2025,213.30,Concurso Cigarros PMI SEMANA 6,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,22/06/2025,124.43,ZYN Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100004,TIE-10DCU50IDE,INCENTIVO EXTRAORDINARIO,23/06/2025,0.50,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,01/06/2025,491.78,PXP CC PROVENCE SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,04/06/2025,47.40,Concurso PMI CC PROVENCE CatchUp SEMANA 1,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,06/06/2025,11.50,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,07/06/2025,235.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,09/06/2025,94.80,CC PROVENCE CatchUp Semana 2,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,10/06/2025,71.10,CC Provence Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,15/06/2025,47.40,Concurso Cigarros PMI SEMANA 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,17/06/2025,94.80,Concurso Cigarros PMI SEMANA 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,18/06/2025,1.00,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,23/06/2025,106.65,Booster ZYN Sem 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,24/06/2025,142.20,Booster ZYN SEM 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100024,TIE-10DCU50URU,INCENTIVO EXTRAORDINARIO,27/06/2025,118.50,Concurso PMI Ola 2 Semana 3 - CCs Provence,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,01/06/2025,118.50,Concurso PMI CC PROVENCE CatchUp SEMANA 1,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,02/06/2025,71.10,CC PROVENCE CatchUp Semana 2,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,03/06/2025,47.40,CC Provence Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,04/06/2025,300.00,Concurso OXXO CEL P05-2025,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,05/06/2025,3.00,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,06/06/2025,262.12,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,07/06/2025,111.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,08/06/2025,124.43,Booster ZYN Sem 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,09/06/2025,248.85,Booster ZYN SEM 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,10/06/2025,385.13,PXP CC PROVENCE SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,11/06/2025,71.10,Concurso PMI Ola 2 Semana 3 - CCs Provence,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,14/06/2025,71.10,Concurso Cigarros PMI SEMANA 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,16/06/2025,465.00,Concurso OXXO CEL P06-2025,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100028,TIE-10DCU50MHJ,INCENTIVO EXTRAORDINARIO,17/06/2025,94.80,Concurso Cigarros PMI SEMANA 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,06/06/2025,256.74,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,07/06/2025,234.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,11/06/2025,391.05,Concurso PMI Ola 2 Semana 3 - ZYN,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,12/06/2025,462.15,Concurso Cigarros PMI SEMANA 5,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,16/06/2025,551.03,Concurso Cigarros PMI SEMANA 6,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,21/06/2025,319.95,ZYN Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,23/06/2025,296.25,RETO VISIBILIDAD OPEN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,27/06/2025,2.50,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100035,TIE-10DCU50JVR,INCENTIVO EXTRAORDINARIO,29/06/2025,515.48,PXP ZYN SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,06/06/2025,0.00,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,07/06/2025,121.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,11/06/2025,195.53,Concurso PMI Ola 2 Semana 3 - ZYN,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,12/06/2025,408.83,Concurso Cigarros PMI SEMANA 5,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,16/06/2025,231.08,Concurso Cigarros PMI SEMANA 6,SI,30/06/2025,INTERFAZE,30/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,17/06/2025,302.18,ZYN Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,21/06/2025,189.60,Booster TEREA GLACIER Sem 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,27/06/2025,50.00,Concurso OXXO CEL P05-2025,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100052,TIE-10MON50ARI,INCENTIVO EXTRAORDINARIO,29/06/2025,124.43,PXP ZYN SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
01100077,TIE-10MON50YX7,INCENTIVO EXTRAORDINARIO,06/06/2025,95.65,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01100077,TIE-10MON50YX7,INCENTIVO EXTRAORDINARIO,07/06/2025,46.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01100099,TIE-10NLA50APL,INCENTIVO EXTRAORDINARIO,06/06/2025,15.73,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
01100099,TIE-10NLA50APL,INCENTIVO EXTRAORDINARIO,07/06/2025,132.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
01100099,TIE-10NLA50APL,INCENTIVO EXTRAORDINARIO,11/06/2025,106.65,Concurso PMI Ola 2 Semana 3 - ZYN,SI,30/06/2025,INTERFAZE,30/06/2025,,,
